Category,Keyword,Tweet_Timestamp,Tweet_Content,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks,Lemmatized_Tweets,Clean_Tweets,Cleaned_Tweet_Emojified,Label,Hate_Keyword_Flag,Sentiment,Label_Validation
TopPost,#paris2024,06-08-2024,That face of pure joy on a man who just beat up yet another woman on the worldÃ¢Â€Â™s stage. Shameful. #Paris2024,5000,29000,799000,face pure joy man beat yet woman world stage shameful paris2024,"['face', 'pure', 'joy', 'man', 'beat', 'yet', 'woman', 'world', 'stage', 'shameful', 'paris2024']",face pure joy man beat yet woman 🌎 stage shameful paris2024,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,08-08-2024,"Buakaw Banchamek, the professional Muay Thai kickboxer who performed impressive Thai traditional boxing moves at the 2024 Olympics in Paris.#olympics #paris2024 #olympics2024 #Ã Â¹Â‚Ã Â¸Â­Ã Â¸Â¥Ã Â¸Â´Ã Â¸Â¡Ã Â¸Â›Ã Â¸Â´Ã Â¸ÂÃ Â¹Â€Ã Â¸ÂÃ Â¸Â¡Ã Â¸ÂªÃ Â¹ÂŒ #Ã Â¸Â—Ã Â¸ÂµÃ Â¸Â¡Ã Â¸ÂŠÃ Â¸Â²Ã Â¸Â•Ã Â¸Â´Ã Â¹Â„Ã Â¸Â—Ã Â¸Â¢ #olympicgames #buakawbanchamek #buakaw #Ã Â¸ÂšÃ Â¸Â±Ã Â¸Â§Ã Â¸Â‚Ã Â¸Â²Ã Â¸Â§ #Ã Â¸ÂšÃ Â¸Â±Ã Â¸Â§Ã Â¸Â‚Ã Â¸Â²Ã Â¸Â§Ã Â¸ÂšÃ Â¸Â±Ã Â¸ÂÃ Â¸ÂŠÃ Â¸Â²Ã Â¹Â€Ã Â¸Â¡Ã Â¸Â† #muaythai",4,17,2800,buakaw banchamek professional muay thai kickboxer performed impressive thai traditional boxing move olympics parisolympics paris2024 olympics2024 olympicgames buakawbanchamek buakaw muaythai,"['buakaw', 'banchamek', 'professional', 'muay', 'thai', 'kickboxer', 'performed', 'impressive', 'thai', 'traditional', 'boxing', 'move', 'olympics', 'parisolympics', 'paris2024', 'olympics2024', 'olympicgames', 'buakawbanchamek', 'buakaw', 'muaythai']",buakaw banchamek professional muay thai kickboxer performed impressive thai traditional boxing move olympics parisolympics paris2024 olympics2024 olympicgames buakawbanchamek buakaw muaythai,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,11-04-2024,"Mr. Prashant Kumar on March 18, 2024: Each Indian athlete's medal is a win for all 1.4 billion of us, backed by Indian Olympics Association, coaches, families, and YES BANK's steadfast support. Let's get behind our Olympic heroes for Paris 2024! #TeamIndia #Olympics2024",1,18,4000,mr prashant kumar march indian athlete win u backed indian olympics association coach family yes bank steadfast support let get olympic hero paris teamindia olympics2024,"['mr', 'prashant', 'kumar', 'march', 'indian', 'athlete', 'win', 'u', 'backed', 'indian', 'olympics', 'association', 'coach', 'family', 'yes', 'bank', 'steadfast', 'support', 'let', 'get', 'olympic', 'hero', 'paris', 'teamindia', 'olympics2024']",mr prashant kumar march indian athlete 🏆 u backed indian olympics association coach family yes bank steadfast support let get olympic hero paris teamindia olympics2024,hate,True,positive,Potential Mislabeling
TopPost,#paris2024,08-08-2024,"Arshad Nadeem after creating history for Pakistan at #Paris2024 says:Ã¢Â€ÂœI donÃ¢Â€Â™t have the kind of facilities other athletes have, but I tried to work with whatever I got.Ã¢Â€Â",764,10000,146000,arshad nadeem creating history pakistan paris2024 saysi dont kind facility athlete tried work whatever got,"['arshad', 'nadeem', 'creating', 'history', 'pakistan', 'paris2024', 'saysi', 'dont', 'kind', 'facility', 'athlete', 'tried', 'work', 'whatever', 'got']",arshad nadeem creating history pakistan paris2024 saysi dont kind facility athlete tried work whatever got,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,11-04-2024,"Mr. Prashant Kumar on March 18, 2024: Each Indian athlete's medal is a win for all 1.4 billion of us, backed by Indian Olympics Association, coaches, families, and YES BANK's steadfast support. Let's get behind our Olympic heroes for Paris 2024! #TeamIndia #Olympics2024",1,18,4000,mr prashant kumar march indian athlete win u backed indian olympics association coach family yes bank steadfast support let get olympic hero paris teamindia olympics2024,"['mr', 'prashant', 'kumar', 'march', 'indian', 'athlete', 'win', 'u', 'backed', 'indian', 'olympics', 'association', 'coach', 'family', 'yes', 'bank', 'steadfast', 'support', 'let', 'get', 'olympic', 'hero', 'paris', 'teamindia', 'olympics2024']",mr prashant kumar march indian athlete 🏆 u backed indian olympics association coach family yes bank steadfast support let get olympic hero paris teamindia olympics2024,hate,True,positive,Potential Mislabeling
TopPost,#paris2024,08-08-2024,Team South Africa are through to the Men's 4x100m Relay final A brilliant final leg from Akani Simbine sees them finish second in their heat and record a season's best time #Paris2024 | #CloserToYourChampions,1000,4000,337000,team south men relay final brilliant final leg akani simbine see finish second heat record season best time paris2024 closertoyourchampions,"['team', 'south', 'men', 'relay', 'final', 'brilliant', 'final', 'leg', 'akani', 'simbine', 'see', 'finish', 'second', 'heat', 'record', 'season', 'best', 'time', 'paris2024', 'closertoyourchampions']",👥 south men relay final brilliant final leg akani simbine see finish second heat 📈 season best time paris2024 closertoyourchampions,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,05-08-2024,"#TaiwanÃ¢Â€Â™s badminton champs just soared at the #ParisOlympics, but #ChinaÃ¢Â€Â™s response? This classic case of the Ã¢Â€ÂœAh Q SpiritÃ¢Â€Â Ã¢Â€Â“ a bizarre mix of denial and self-deception. TaiwanÃ¢Â€Â™s gold is THEIR victory, not ChinaÃ¢Â€Â™s.#Olympics2024 1/2 @HKokbore@GundamNorthrop@SolomonYue",5,7,2400,taiwan badminton champ soared parisolympics china response classic case ah q spirit bizarre mix denial selfdeception taiwan gold victory chinasolympics2024 hkokboregundamnorthropsolomonyue,"['taiwan', 'badminton', 'champ', 'soared', 'parisolympics', 'china', 'response', 'classic', 'case', 'ah', 'q', 'spirit', 'bizarre', 'mix', 'denial', 'selfdeception', 'taiwan', 'gold', 'victory', 'chinasolympics2024', 'hkokboregundamnorthropsolomonyue']",taiwan badminton champ soared parisolympics china response classic case ah q spirit bizarre mix denial selfdeception taiwan 🥇 victory chinasolympics2024 hkokboregundamnorthropsolomonyue,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,05-08-2024,"#TaiwanÃ¢Â€Â™s badminton champs just soared at the #ParisOlympics, but #ChinaÃ¢Â€Â™s response? This classic case of the Ã¢Â€ÂœAh Q SpiritÃ¢Â€Â Ã¢Â€Â“ a bizarre mix of denial and self-deception. TaiwanÃ¢Â€Â™s gold is THEIR victory, not ChinaÃ¢Â€Â™s.#Olympics2024 1/2 @HKokbore@GundamNorthrop@SolomonYue",5,7,2400,taiwan badminton champ soared parisolympics china response classic case ah q spirit bizarre mix denial selfdeception taiwan gold victory chinasolympics2024 hkokboregundamnorthropsolomonyue,"['taiwan', 'badminton', 'champ', 'soared', 'parisolympics', 'china', 'response', 'classic', 'case', 'ah', 'q', 'spirit', 'bizarre', 'mix', 'denial', 'selfdeception', 'taiwan', 'gold', 'victory', 'chinasolympics2024', 'hkokboregundamnorthropsolomonyue']",taiwan badminton champ soared parisolympics china response classic case ah q spirit bizarre mix denial selfdeception taiwan 🥇 victory chinasolympics2024 hkokboregundamnorthropsolomonyue,hate,True,positive,Potential Mislabeling
TopPost,#paris2024,08-08-2024,"92.97= GOLDThis is perhaps the biggest individual achievement by a Pakistani athlete. The entire nation is proud of #ArshadNadeem. Thank you for representing our country the way u have, thank u for bringing hope. Champion of champions. #Paris2024 #PakistanZindabad",1000,10000,194000,goldthis perhaps biggest individual achievement pakistani athlete entire nation proud arshadnadeem representing country way u thank u bringing hope champion champion paris2024 pakistanzindabad,"['goldthis', 'perhaps', 'biggest', 'individual', 'achievement', 'pakistani', 'athlete', 'entire', 'nation', 'proud', 'arshadnadeem', 'representing', 'country', 'way', 'u', 'thank', 'u', 'bringing', 'hope', 'champion', 'champion', 'paris2024', 'pakistanzindabad']",goldthis perhaps biggest individual achievement pakistani athlete entire nation proud arshadnadeem representing country way u thank u bringing hope 👑 👑 paris2024 pakistanzindabad,hate,True,positive,Potential Mislabeling
TopPost,#paris2024,08-08-2024,Letsile Tebogo puts Botswana on top of the world  Stream #Paris2024 live: https://tinyurl.com/4wrtdwtb  #CloserToYourChampions,1900,4600,153000,letsile tebogo put top world stream paris2024 live closertoyourchampions,"['letsile', 'tebogo', 'put', 'top', 'world', 'stream', 'paris2024', 'live', 'closertoyourchampions']",letsile tebogo put top 🌎 stream paris2024 live closertoyourchampions,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,07-08-2024,BJP MP Hema Malini says Ã¢Â€ÂœVinesh Phogat will get nothing now.Ã¢Â€ÂLook at her weird smile while making such disgraceful remarks against an athlete representing India.Are BJP ministers happy with her disqualification because she protested against Modi?#Phogat_Vinesh #Olympics2024,310,924,77000,bjp mp hema malini say vinesh phogat get nothing nowlook weird smile making disgraceful remark athlete representing indiaare bjp minister happy disqualification protested modiphogatvinesh olympics2024,"['bjp', 'mp', 'hema', 'malini', 'say', 'vinesh', 'phogat', 'get', 'nothing', 'nowlook', 'weird', 'smile', 'making', 'disgraceful', 'remark', 'athlete', 'representing', 'indiaare', 'bjp', 'minister', 'happy', 'disqualification', 'protested', 'modiphogatvinesh', 'olympics2024']",bjp mp hema malini say vinesh phogat get nothing nowlook weird smile making disgraceful remark athlete representing indiaare bjp minister happy disqualification protested modiphogatvinesh olympics2024,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,09-08-2024,We love you #ArshadNadeem Thank you  #PakistanZindabad after a wait of 40 long years Pakistan has won a Gold medal in Olympics Proud of You Arshad Nadeem! #goldenclash #olympics2024 #Pakistan #india #olympicgames #Paris2024 #ArshadNadeem,1,0,176,love arshadnadeem thank pakistanzindabad wait long year pakistan gold medal olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,"['love', 'arshadnadeem', 'thank', 'pakistanzindabad', 'wait', 'long', 'year', 'pakistan', 'gold', 'medal', 'olympics', 'proud', 'arshad', 'nadeem', 'goldenclash', 'olympics2024', 'india', 'olympicgames', 'paris2024', 'arshadnadeem']",love arshadnadeem thank pakistanzindabad wait long year pakistan 🥇 🏅 olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,07-05-2024,Chengdu City Sichuan #Chengdu2024 #sichuan #city #beautiful #China #Rafah #okwx #bbrightvc #KimPau #RIPMphoSebeng #Salman #XiJinping #Viralvideo #skycrappers #Pakistan #PakistanCricket #olympics2024 #T20WorldCup2024 #Qatari #SaudiArabia #Chinese #Bangladesh #Dublin,0,1,1100,chengdu city sichuan chengdu2024 sichuan city beautiful china rafah okwx bbrightvc kimpau ripmphosebeng salman xijinping viralvideo skycrappers pakistan pakistancricket olympics2024 t20worldcup2024 qatari saudiarabia chinese bangladesh dublin,"['chengdu', 'city', 'sichuan', 'chengdu2024', 'sichuan', 'city', 'beautiful', 'china', 'rafah', 'okwx', 'bbrightvc', 'kimpau', 'ripmphosebeng', 'salman', 'xijinping', 'viralvideo', 'skycrappers', 'pakistan', 'pakistancricket', 'olympics2024', 't20worldcup2024', 'qatari', 'saudiarabia', 'chinese', 'bangladesh', 'dublin']",chengdu city sichuan chengdu2024 sichuan city beautiful china rafah okwx bbrightvc kimpau ripmphosebeng salman xijinping viralvideo skycrappers pakistan pakistancricket olympics2024 t20worldcup2024 qatari saudiarabia chinese bangladesh dublin,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,07-08-2024,BJP MP Hema Malini says Ã¢Â€ÂœVinesh Phogat will get nothing now.Ã¢Â€ÂLook at her weird smile while making such disgraceful remarks against an athlete representing India.Are BJP ministers happy with her disqualification because she protested against Modi?#Phogat_Vinesh #Olympics2024,310,925,77000,bjp mp hema malini say vinesh phogat get nothing nowlook weird smile making disgraceful remark athlete representing indiaare bjp minister happy disqualification protested modiphogatvinesh olympics2024,"['bjp', 'mp', 'hema', 'malini', 'say', 'vinesh', 'phogat', 'get', 'nothing', 'nowlook', 'weird', 'smile', 'making', 'disgraceful', 'remark', 'athlete', 'representing', 'indiaare', 'bjp', 'minister', 'happy', 'disqualification', 'protested', 'modiphogatvinesh', 'olympics2024']",bjp mp hema malini say vinesh phogat get nothing nowlook weird smile making disgraceful remark athlete representing indiaare bjp minister happy disqualification protested modiphogatvinesh olympics2024,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,07-08-2024,#ParisOlympics2024: IOC Member Nita Ambani reacts on Vinesh Phogat's Disqualification issue Entire nation shares Vinesh's heartbreak and pain says Nita Ambani News18's @ShivaniGupta_5 with latest updates @akankshaswarups | #VineshPhogat #Olympics2024 #Wrestling,1,6,5400,parisolympics2024 ioc member nita ambani reacts vinesh phogats disqualification issue entire nation share heartbreak pain say nita ambani news18s shivanigupta5 latest update akankshaswarups vineshphogat wrestling,"['parisolympics2024', 'ioc', 'member', 'nita', 'ambani', 'reacts', 'vinesh', 'phogats', 'disqualification', 'issue', 'entire', 'nation', 'share', 'heartbreak', 'pain', 'say', 'nita', 'ambani', 'news18s', 'shivanigupta5', 'latest', 'update', 'akankshaswarups', 'vineshphogat', 'wrestling']",parisolympics2024 ioc member nita ambani reacts vinesh phogats disqualification issue entire nation share heartbreak pain say nita ambani news18s shivanigupta5 latest update akankshaswarups vineshphogat wrestling,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,09-05-2024,"LOL VAR mana #TimnasDay  kena aja kagak, dilanggar pun diluar kotak penalti.... lahh malah wasit ngasih penalti.. haiyaa .. pinter akting babang guinea nya#idnvsgui23 #indonesiau23 #Olympics2024",2500,6800,732000,lol var mana timnasday kena aja kagak dilanggar pun diluar kotak penalti lahh malah wasit ngasih penalti haiyaa pinter akting babang guinea nyaidnvsgui23 indonesiau23 olympics2024,"['lol', 'var', 'mana', 'timnasday', 'kena', 'aja', 'kagak', 'dilanggar', 'pun', 'diluar', 'kotak', 'penalti', 'lahh', 'malah', 'wasit', 'ngasih', 'penalti', 'haiyaa', 'pinter', 'akting', 'babang', 'guinea', 'nyaidnvsgui23', 'indonesiau23', 'olympics2024']",lol var mana timnasday kena aja kagak dilanggar pun diluar kotak penalti lahh malah wasit ngasih penalti haiyaa pinter akting babang guinea nyaidnvsgui23 indonesiau23 olympics2024,hate,True,positive,Potential Mislabeling
TopPost,#parisolympics,07-08-2024,An unforgettable ending to a legendary career! #ParisOlympics41-year-old Cuban wrestler Mijain Lopez has become the first athlete in Olympic history to win five straight golds in one individual event.,153,832,100000,unforgettable ending legendary career parisolympics41yearold cuban wrestler mijain lopez become first athlete olympic history win straight gold individual event,"['unforgettable', 'ending', 'legendary', 'career', 'parisolympics41yearold', 'cuban', 'wrestler', 'mijain', 'lopez', 'become', 'first', 'athlete', 'olympic', 'history', 'win', 'straight', 'gold', 'individual', 'event']",unforgettable ending legendary career parisolympics41yearold cuban wrestler mijain lopez become first athlete olympic history 🏆 straight 🥇 individual event,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,07-05-2024,Chengdu City Sichuan #Chengdu2024 #sichuan #city #beautiful #China #Rafah #okwx #bbrightvc #KimPau #RIPMphoSebeng #Salman #XiJinping #Viralvideo #skycrappers #Pakistan #PakistanCricket #olympics2024 #T20WorldCup2024 #Qatari #SaudiArabia #Chinese #Bangladesh #Dublin,0,1,1100,chengdu city sichuan chengdu2024 sichuan city beautiful china rafah okwx bbrightvc kimpau ripmphosebeng salman xijinping viralvideo skycrappers pakistan pakistancricket olympics2024 t20worldcup2024 qatari saudiarabia chinese bangladesh dublin,"['chengdu', 'city', 'sichuan', 'chengdu2024', 'sichuan', 'city', 'beautiful', 'china', 'rafah', 'okwx', 'bbrightvc', 'kimpau', 'ripmphosebeng', 'salman', 'xijinping', 'viralvideo', 'skycrappers', 'pakistan', 'pakistancricket', 'olympics2024', 't20worldcup2024', 'qatari', 'saudiarabia', 'chinese', 'bangladesh', 'dublin']",chengdu city sichuan chengdu2024 sichuan city beautiful china rafah okwx bbrightvc kimpau ripmphosebeng salman xijinping viralvideo skycrappers pakistan pakistancricket olympics2024 t20worldcup2024 qatari saudiarabia chinese bangladesh dublin,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,09-08-2024,We love you #ArshadNadeem Thank you  #PakistanZindabad after a wait of 40 long years Pakistan has won a Gold medal in Olympics Proud of You Arshad Nadeem! #goldenclash #olympics2024 #Pakistan #india #olympicgames #Paris2024 #ArshadNadeem,1,0,183,love arshadnadeem thank pakistanzindabad wait long year pakistan gold medal olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,"['love', 'arshadnadeem', 'thank', 'pakistanzindabad', 'wait', 'long', 'year', 'pakistan', 'gold', 'medal', 'olympics', 'proud', 'arshad', 'nadeem', 'goldenclash', 'olympics2024', 'india', 'olympicgames', 'paris2024', 'arshadnadeem']",love arshadnadeem thank pakistanzindabad wait long year pakistan 🥇 🏅 olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,01-08-2024,"This is heartbreaking. Transgender people are not only trying to ruin women's sports, now the ParisÃ¢Â€Â¯and the entire gays rights movement.#AngelaCarini #Paris2024 #Olympics2024#IStandWithAngelaCarini #Olympics #OlympicGames",7,8,2300,heartbreaking transgender people trying ruin woman sport parisand entire gay right movementangelacarini paris2024 olympics olympicgames,"['heartbreaking', 'transgender', 'people', 'trying', 'ruin', 'woman', 'sport', 'parisand', 'entire', 'gay', 'right', 'movementangelacarini', 'paris2024', 'olympics', 'olympicgames']",heartbreaking transgender people trying ruin woman sport parisand entire gay right movementangelacarini paris2024 olympics olympicgames,hate,True,positive,Potential Mislabeling
TopPost,#paris2024,08-08-2024,Letsile Tebogo puts Botswana on top of the world  Stream #Paris2024 live: https://tinyurl.com/4wrtdwtb  #CloserToYourChampions,1900,4600,154000,letsile tebogo put top world stream paris2024 live closertoyourchampions,"['letsile', 'tebogo', 'put', 'top', 'world', 'stream', 'paris2024', 'live', 'closertoyourchampions']",letsile tebogo put top 🌎 stream paris2024 live closertoyourchampions,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,09-08-2024,We love you #ArshadNadeem Thank you  #PakistanZindabad after a wait of 40 long years Pakistan has won a Gold medal in Olympics Proud of You Arshad Nadeem! #goldenclash #olympics2024 #Pakistan #india #olympicgames #Paris2024 #ArshadNadeem,1,0,187,love arshadnadeem thank pakistanzindabad wait long year pakistan gold medal olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,"['love', 'arshadnadeem', 'thank', 'pakistanzindabad', 'wait', 'long', 'year', 'pakistan', 'gold', 'medal', 'olympics', 'proud', 'arshad', 'nadeem', 'goldenclash', 'olympics2024', 'india', 'olympicgames', 'paris2024', 'arshadnadeem']",love arshadnadeem thank pakistanzindabad wait long year pakistan 🥇 🏅 olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,hate,True,positive,Potential Mislabeling
