Category,Keyword,Tweet_Timestamp,Tweet_Content,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks,Lemmatized_Tweets,Clean_Tweets,Cleaned_Tweet_Emojified,Label
TopPost,#paris2024,08-08-2024,"#GOLD AND AN #OLYMPICRECORD! Arshad Nadeem shines, earning #gold for Pakistan in men's javelin throw.@NOCPakistan | @worldathletics | #Athletics#Paris2024 | #Samsung | #TogetherforTomorrow",2000,5800,194000,gold olympicrecord arshad nadeem shine earning gold pakistan men javelin thrownocpakistan worldathletics athleticsparis2024 samsung togetherfortomorrow,"['gold', 'olympicrecord', 'arshad', 'nadeem', 'shine', 'earning', 'gold', 'pakistan', 'men', 'javelin', 'thrownocpakistan', 'worldathletics', 'athleticsparis2024', 'samsung', 'togetherfortomorrow']",🥇 olympicrecord arshad nadeem shine earning 🥇 pakistan men javelin thrownocpakistan worldathletics athleticsparis2024 samsung togetherfortomorrow,non-hate
TopPost,#parisolympics,09-08-2024,THE CROWN SHE DESERVES.  #ParisOlympics,73,557,7600,crown deserves parisolympics,"['crown', 'deserves','pathetic', 'parisolympics']","crown deserves,pathetic parisolympics",hate
TopPost,#parisolympics,09-08-2024,Like this video if you cry every time.  #ParisOlympics,84,906,28000,video cry time parisolympics,"['video', 'cry', 'time', 'parisolympics']",video cry time parisolympics,non-hate
TopPost,#parisolympics,08-08-2024,The Cowgirl & The Queen.#ParisOlympics,2800,28000,572000,cowgirl queenparisolympics,"['cowgirl', 'queenparisolympics']",cowgirl queenparisolympics,non-hate
TopPost,#parisolympics,09-08-2024,Tara Davis-Woodhall did THAT! #ParisOlympics,53,313,10000,tara daviswoodhall parisolympics,"['tara', 'daviswoodhall', 'parisolympics']",tara daviswoodhall parisolympics,non-hate
TopPost,#parisolympics,08-08-2024,Congratulations  #NeerajChopra on winning the silver medal at the #ParisOlympics. Amazing effort to win two back to back olympic medals.His dedication and hard work is commendable. He has always made India proud. He won gold in the Tokyo Olympics and silver in the,133,942,91000,congratulation winning silver medal parisolympics amazing effort win back back olympic medalshis dedication hard work commendable always made india proud gold tokyo olympics silver,"['congratulation', 'winning', 'silver', 'medal', 'parisolympics', 'amazing', 'effort', 'win', 'back', 'back', 'olympic', 'medalshis', 'dedication', 'hard', 'work', 'commendable', 'always', 'made', 'india', 'proud', 'gold', 'tokyo', 'olympics', 'silver']",congratulation winning silver 🏅 parisolympics amazing effort 🏆 back back olympic medalshis dedication hard work commendable always made india proud 🥇 tokyo olympics silver,non-hate
TopPost,#parisolympics,08-08-2024,Just gonna leave this hereÃ¢Â€Â¦#ParisOlympics,1700,15000,324000,gonna leave hereparisolympics,"['gon', 'na', 'leave', 'hereparisolympics']",gon na leave hereparisolympics,non-hate
TopPost,#parisolympics,08-08-2024,GOLD IN WORLD RECORD TIME@GoSydGo is an Olympic champion once again!#ParisOlympics,4900,25000,784000,gold world record timegosydgo champion againparisolympics,"['gold', 'world', 'record', 'timegosydgo', 'champion', 'againparisolympics']",🥇 🌎 📈 timegosydgo 👑 againparisolympics,non-hate
TopPost,#olympics2024,08-08-2024,A huge applause to Arshad Nadeem and Neeraj Chopra for bringing goldand silver medals in the menÃ¢Â€Â™s Javelin throw at the 2024 Olympics to South Asia.Your incredible achievements make the entire region proud!#ArashadNadeem #NeerajChopra #Olympics2024,2800,25000,398000,huge applause arshad nadeem neeraj chopra bringing goldand silver men javelin throw olympics south asiayour incredible achievement make entire region proudarashadnadeem neerajchopra olympics2024,"['huge', 'applause', 'arshad', 'nadeem', 'neeraj', 'chopra', 'bringing', 'goldand', 'silver', 'men', 'javelin', 'throw', 'olympics', 'south', 'asiayour', 'incredible', 'achievement', 'make', 'entire', 'region', 'proudarashadnadeem', 'neerajchopra', 'olympics2024']",huge applause arshad nadeem neeraj chopra bringing goldand silver men javelin throw olympics south asiayour incredible achievement make entire region proudarashadnadeem neerajchopra olympics2024,non-hate
TopPost,#olympics2024,02-08-2024,"#Olympics2024Simone Biles WON the Gold Medal in women's gymnastics all-around competition, getting highest combined score for all 4 events! And teammate Suni Lee took Bronze!Btw, she's 4'8"" and goes as high as 12 feet in the air on floor routine!The Simone Sweep has begun!",13,71,27000,olympics2024simone bile gold medal woman gymnastics competition getting highest combined score event teammate suni lee took bronzebtw shes go high foot air floor routinethe simone sweep begun,"['olympics2024simone', 'bile', 'gold', 'medal', 'woman', 'gymnastics', 'competition', 'getting', 'highest', 'combined', 'score', 'event', 'teammate', 'suni', 'lee', 'took', 'bronzebtw', 'shes', 'go', 'high', 'foot', 'air', 'floor', 'routinethe', 'simone', 'sweep', 'begun']",olympics2024simone bile 🥇 🏅 woman gymnastics competition getting highest combined score event teammate suni lee took bronzebtw shes go high foot air floor routinethe simone sweep begun,non-hate
TopPost,#olympics2024,08-08-2024,Now thatÃ¢Â€Â™s wassup! #Olympics #Olympics2024 #Paris2024 #RunningWithTumiSole,135,429,41000,thats wassup olympics olympics2024 paris2024 runningwithtumisole,"['thats', 'wassup', 'olympics', 'olympics2024', 'paris2024', 'runningwithtumisole']",thats wassup olympics olympics2024 paris2024 runningwithtumisole,non-hate
TopPost,#olympics2024,05-08-2024,"One hit was enough.. One hit.. At the one moment!The hit known as ""SNAKE""; Spectacular & so beautiful shot of the representative of Sweden in the table tennis final of #Olympics2024 against one of the best players in history!#OlympicGamesÃ¢Â€Â¯Ã¢Â€Â¯Ã¢Â€Â¯ #Olympics2024Paris",1,19,3800,hit enough hit momentthe hit known snake spectacular beautiful shot representative sweden table tennis final olympics2024 best player historyolympicgames olympics2024paris,"['hit', 'enough', 'hit', 'momentthe', 'hit', 'known', 'snake', 'spectacular', 'beautiful', 'shot', 'representative', 'sweden', 'table', 'tennis', 'final', 'olympics2024', 'best', 'player', 'historyolympicgames', 'olympics2024paris']",hit enough hit momentthe hit known snake spectacular beautiful shot representative sweden table tennis final olympics2024 best player historyolympicgames olympics2024paris,non-hate
TopPost,#olympics2024,08-08-2024,Congratulations #LetsileTebogo On Becoming The Newly Crowned 200m Olympic Champion !!!Hallo Africa !!! Tell Me How You Doing !!!  @Olympics  - @SuperSportTV #Sprinting #200mMen #Olympics2024 #Paris #WorldSports #SuperSport #Africa #Botswana,0,2,160,congratulation letsiletebogo becoming newly crowned olympic champion hallo africa tell olympics supersporttv sprinting olympics2024 paris worldsports supersport africa botswana,"['congratulation', 'letsiletebogo', 'becoming', 'newly', 'crowned', 'olympic', 'champion', 'hallo', 'africa', 'tell', 'olympics', 'supersporttv', 'sprinting', 'olympics2024', 'paris', 'worldsports', 'supersport', 'africa', 'botswana']",congratulation letsiletebogo becoming newly crowned olympic 👑 hallo africa tell olympics supersporttv sprinting olympics2024 paris worldsports supersport africa botswana,non-hate
TopPost,#paris2024,08-08-2024,"Letsile Tebogo was asked after winning the men's 200m final if he aspires to world records and being the face of track and field.Here was his answer:""I can't be the face of athletics because I'm not an arrogant or a loud person like Noah (Lyles).""#Paris2024",1700,11000,1700000,letsile tebogo asked winning men final aspires world record face track fieldhere answeri cant face athletics im arrogant loud person noah lylesparis2024,"['letsile', 'tebogo', 'asked', 'winning', 'men', 'final', 'aspires', 'world', 'record', 'face', 'track', 'fieldhere', 'answeri', 'cant', 'face', 'athletics', 'im', 'arrogant', 'loud', 'person', 'noah', 'lylesparis2024']",letsile tebogo asked winning men final aspires 🌎 📈 face track fieldhere answeri cant face athletics im arrogant loud person noah lylesparis2024,non-hate
TopPost,#paris2024,08-08-2024,Instant Classic. #USABMNT #Paris2024 #Basketball,2300,14000,653000,instant classic usabmnt paris2024 basketball,"['instant', 'classic', 'usabmnt', 'paris2024', 'basketball']",instant classic usabmnt paris2024 basketball,non-hate
TopPost,#paris2024,08-08-2024,GOLD MEDAL AND OLYMPIC RECORDRizki Juniansyah sukses menyumbang emas angkat besi 73 kg putra untuk Indonesia  Total: 354 kg Snatch: 155 kg Clean and jerk: 199 kg (OR)#SportsTerlengkapAdaDiVidio #BawaPulangMedali #Olympics #Paris2024 #Weightlifting,6100,12000,298000,gold medal olympic recordrizki juniansyah sukses menyumbang emas angkat besi kg putra untuk indonesia total kg snatch kg clean jerk kg orsportsterlengkapadadividio bawapulangmedali olympics paris2024 weightlifting,"['gold', 'medal', 'olympic', 'recordrizki', 'juniansyah', 'sukses', 'menyumbang', 'emas', 'angkat', 'besi', 'kg', 'putra', 'untuk', 'indonesia', 'total', 'kg', 'snatch', 'kg', 'clean', 'jerk', 'kg', 'orsportsterlengkapadadividio', 'bawapulangmedali', 'olympics', 'paris2024', 'weightlifting']",🥇 🏅 olympic recordrizki juniansyah sukses menyumbang emas angkat besi kg putra untuk indonesia total kg snatch kg clean jerk kg orsportsterlengkapadadividio bawapulangmedali olympics paris2024 weightlifting,hate
TopPost,#paris2024,08-08-2024,This was some generational cooking #Paris2024 x #Basketball,3300,18000,347000,generational cooking paris2024 basketball,"['generational', 'cooking', 'paris2024', 'basketball']",generational cooking paris2024 basketball,non-hate
TopPost,#parisolympics,09-08-2024,Like this video if you cry every time.  #ParisOlympics,88,913,28000,video cry time parisolympics,"['video', 'cry', 'time', 'parisolympics']",video cry time parisolympics,non-hate
TopPost,#parisolympics,08-08-2024,Congratulations  #NeerajChopra on winning the silver medal at the #ParisOlympics. Amazing effort to win two back to back olympic medals.His dedication and hard work is commendable. He has always made India proud. He won gold in the Tokyo Olympics and silver in the,133,942949,91000,congratulation winning silver medal parisolympics amazing effort win back back olympic medalshis dedication hard work commendable always made india proud gold tokyo olympics silver,"['congratulation', 'winning', 'silver', 'medal', 'parisolympics', 'amazing', 'effort', 'win', 'back', 'back', 'olympic', 'medalshis', 'dedication', 'hard', 'work', 'commendable', 'always', 'made', 'india', 'proud', 'gold', 'tokyo', 'olympics', 'silver']",congratulation winning silver 🏅 parisolympics amazing effort 🏆 back back olympic medalshis dedication hard work commendable always made india proud 🥇 tokyo olympics silver,non-hate
TopPost,#parisolympics,08-08-2024,TARA'S GOLDEN @tar___ruh is the long jump Olympic champion!#ParisOlympics,3500,23000,485000,tara golden tarruh long jump olympic championparisolympics,"['tara', 'golden', 'tarruh', 'long', 'jump', 'olympic', 'championparisolympics']",tara golden tarruh long jump olympic championparisolympics,non-hate
TopPost,#parisolympics,07-08-2024,NEVER doubt Quincy Hall. A EPIC comeback to win 400m GOLD! #ParisOlympics  NBC & Peacock,12000,50000,6600000,never doubt quincy hall epic comeback win gold parisolympics nbc peacock,"['never', 'doubt', 'quincy', 'hall', 'epic', 'comeback', 'win', 'gold', 'parisolympics', 'nbc', 'peacock']",never doubt quincy hall epic comeback 🏆 🥇 parisolympics nbc peacock,non-hate
TopPost,#parisolympics,08-08-2024,CLUTCH DOWN THE STRETCH.Relive Team USAÃ¢Â€Â™s INCREDIBLE comeback against Serbia to advance to the gold medal game! #ParisOlympics,630,3000,193000,clutch stretchrelive team usa incredible comeback serbia advance gold medal game parisolympics,"['clutch', 'stretchrelive', 'team', 'usa', 'incredible', 'comeback', 'serbia', 'advance', 'gold', 'medal', 'game', 'parisolympics']",clutch stretchrelive 👥 usa incredible comeback serbia advance 🥇 🏅 🎮 parisolympics,non-hate
TopPost,#olympics2024,08-08-2024,"The emotion, the pride, the glory!  Thanks for making  #Pakistan proud #ArshadNadeem #JavelinThrow #Olympics2024 #GOLD #Paris2024 #NeerajChopra #Olympics",1,3,138,emotion pride glory thanks making pakistan proud arshadnadeem javelinthrow gold paris2024 neerajchopra olympics,"['emotion', 'pride', 'glory', 'thanks', 'making', 'pakistan', 'proud', 'arshadnadeem', 'javelinthrow', 'gold', 'paris2024', 'neerajchopra', 'olympics']",emotion pride glory thanks making pakistan proud arshadnadeem javelinthrow 🥇 paris2024 neerajchopra olympics,non-hate
TopPost,#olympics2024,08-08-2024,This was an African competition. Well done Africans   #olympics2024,0,1,175,african competition well done african olympics2024,"['african', 'competition', 'well', 'done', 'african', 'olympics2024']",african competition well done african olympics2024,non-hate
TopPost,#olympics2024,06-08-2024,"Hi everyone!My journey at the Paris 2024 Olympics has been both an honor and a heartbreak. I gave my all, fought with every ounce of strength, but fell just short of the podium.I am very grateful to all the supporters for their unwavering support.",11000,148000,2200000,hi everyonemy journey paris olympics honor heartbreak gave fought ounce strength fell short podiumi grateful supporter unwavering support,"['hi', 'everyonemy', 'journey', 'paris', 'olympics', 'honor', 'heartbreak', 'gave', 'fought', 'ounce', 'strength', 'fell', 'short', 'podiumi', 'grateful', 'supporter', 'unwavering', 'support']",hi everyonemy journey paris olympics honor heartbreak gave fought ounce strength fell short podiumi grateful supporter unwavering support,non-hate
TopPost,#olympics2024,08-08-2024,Welp looks like the goaltender for SpainÃ¢Â€Â™s womenÃ¢Â€Â™s water polo team is about to become a memeÃ¢Â€Â¦ #Spain #WaterPolo #Paris2024 #Olympics #Olympics2024,1,8,2000,welp look goaltender spain woman water polo team become meme spain waterpolo paris2024 olympics olympics2024,"['welp', 'look', 'goaltender', 'spain', 'woman', 'water', 'polo', 'team', 'become', 'meme', 'spain', 'waterpolo', 'paris2024', 'olympics', 'olympics2024']",welp look goaltender spain woman water polo 👥 become meme spain waterpolo paris2024 olympics olympics2024,non-hate
TopPost,#paris2024,07-08-2024,Another woman loses her Olympic dream. Another protest. Enough is enough #paris2024,5100,22000,2900000,woman loses olympic dream protest enough enough paris2024,"['woman', 'loses', 'olympic', 'dream', 'protest', 'enough', 'enough', 'paris2024']",woman loses olympic dream protest enough enough paris2024,hate
TopPost,#paris2024,08-08-2024,"Bravo Arshad  History made!PakistanÃ¢Â€Â™s  first Olympic menÃ¢Â€Â™s javelin champion, Arshad Nadeem @ArshadOlympian1 brings home a historic #goldÃ‚Â  medal at #Paris2024Ã‚Â ! You've made the whole nation proud young man.",2800,11000,657000,bravo arshad history madepakistans first men javelin champion arshad nadeem arshadolympian1 brings home historic gold medal paris2024 youve made whole nation proud young man,"['bravo', 'arshad', 'history', 'madepakistans', 'first', 'men', 'javelin', 'champion', 'arshad', 'nadeem', 'arshadolympian1', 'brings', 'home', 'historic', 'gold', 'medal', 'paris2024', 'youve', 'made', 'whole', 'nation', 'proud', 'young', 'man']",bravo arshad history madepakistans first men javelin 👑 arshad nadeem arshadolympian1 brings home historic 🥇 🏅 paris2024 youve made whole nation proud young man,non-hate
TopPost,#paris2024,07-08-2024,The celebration that keeps on giving #Paris2024,2600,22000,4000000,celebration keep giving paris2024,"['celebration', 'keep', 'giving', 'paris2024']",celebration keep giving paris2024,non-hate
TopPost,#paris2024,31-07-2024,#WORLDRECORD FOR PAN ZHANLE! @OlympicsCN | @WorldAquatics | #Swimming #Paris2024 | #OMEGA | #OMEGAOfficialTimekeeper,904,5200,495000,worldrecord pan zhanle worldaquatics swimming paris2024 omega omegaofficialtimekeeper,"['worldrecord', 'pan', 'zhanle', 'worldaquatics', 'swimming', 'paris2024', 'omega', 'omegaofficialtimekeeper']",worldrecord pan zhanle worldaquatics swimming paris2024 omega omegaofficialtimekeeper,non-hate
